"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
69,"SP-D17-18","lower","0:4:3",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:04:45","12/03/2019 00:08:48","ae7d7950ed68a29b627719c0723f0ca0"
35,"SP-V1","NA",0,12,0,0,10,10,10,"SUCCESS","12/03/2019","12/03/2019 00:06:12","NA","e15ceae8fa62a160cebe0a1644e6116c"
70,"SP-D17-18","upper","0:0:19",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:10:01","12/03/2019 00:10:20","ae7d7950ed68a29b627719c0723f0ca0"
71,"SP-D17-18","lower","0:0:19",3,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:10:01","12/03/2019 00:10:20","ae7d7950ed68a29b627719c0723f0ca0"
61,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:11:44","12/03/2019 00:11:45","467b712f6f3dd1baad34f7b11b75f7d1"
62,"SP-W1","NA","0:0:2",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:17:05","12/03/2019 00:17:07","467b712f6f3dd1baad34f7b11b75f7d1"
37,"SP-V1","NA",0,14,0,0,12,13,12,"SUCCESS","12/03/2019","12/03/2019 00:14:12","NA","e15ceae8fa62a160cebe0a1644e6116c"
72,"SP-D17-18","upper","0:0:18",5,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:17:58","12/03/2019 00:18:16","ae7d7950ed68a29b627719c0723f0ca0"
73,"SP-D17-18","lower","0:0:18",3,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:17:58","12/03/2019 00:18:16","ae7d7950ed68a29b627719c0723f0ca0"
63,"SP-W1","NA","0:0:2",0,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:22:11","12/03/2019 00:22:13","467b712f6f3dd1baad34f7b11b75f7d1"
38,"SP-V1","NA",0,6,0,0,5,5,5,"SUCCESS","12/03/2019","12/03/2019 00:19:55","NA","e15ceae8fa62a160cebe0a1644e6116c"
74,"SP-D17-18","upper","0:0:18",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:24:20","12/03/2019 00:24:38","ae7d7950ed68a29b627719c0723f0ca0"
75,"SP-D17-18","lower","0:0:18",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:24:20","12/03/2019 00:24:38","ae7d7950ed68a29b627719c0723f0ca0"
64,"SP-W1","NA","0:0:2",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:29:02","12/03/2019 00:29:04","467b712f6f3dd1baad34f7b11b75f7d1"
39,"SP-V1","NA",0,6,0,0,5,5,5,"SUCCESS","12/03/2019","12/03/2019 00:26:19","NA","e15ceae8fa62a160cebe0a1644e6116c"
76,"SP-D17-18","upper","0:0:18",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:30:00","12/03/2019 00:30:18","ae7d7950ed68a29b627719c0723f0ca0"
77,"SP-D17-18","lower","0:0:18",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:30:00","12/03/2019 00:30:18","ae7d7950ed68a29b627719c0723f0ca0"
78,"SP-D17-18","upper","0:0:18",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:35:09","12/03/2019 00:35:27","ae7d7950ed68a29b627719c0723f0ca0"
79,"SP-D17-18","lower","0:0:18",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:35:09","12/03/2019 00:35:27","ae7d7950ed68a29b627719c0723f0ca0"
